0,28,29,138
1,27,32,137
2,26,35,137
3,26,37,136
4,25,40,136
5,24,43,135
6,23,46,134
7,22,49,134
8,22,51,133
9,21,54,133
10,20,57,132
11,19,60,132
12,18,63,131
13,17,65,130
14,17,67,130
15,19,72,136
16,20,75,140
17,22,78,145
18,23,82,149
19,25,85,153
20,26,88,158
21,28,92,162
22,29,95,166
23,30,98,170
24,32,101,175
25,33,105,179
26,35,108,183
27,36,111,187
28,38,115,192
29,39,118,196
30,44,124,197
31,50,129,198
32,55,135,199
33,61,140,201
34,66,146,202
35,72,151,203
36,77,157,204
37,83,162,205
38,88,168,206
39,93,173,207
40,99,179,209
41,106,186,210
42,116,190,194
43,130,196,171
44,145,202,148
45,159,208,126
46,170,213,108
47,191,223,103
48,208,232,99
49,226,240,94
50,243,249,90
51,252,253,88
52,252,246,87
53,252,241,86
54,252,236,85
55,253,231,84
56,253,226,83
57,253,222,82
58,253,217,81
59,253,212,80
60,253,207,80
61,253,202,79
62,253,197,78
63,253,193,77
64,254,188,76
65,254,183,75
66,254,178,74
67,254,173,73
68,254,168,72
69,254,163,72
70,254,159,71
71,254,154,70
72,254,149,69
73,255,144,68
74,255,139,67
75,255,134,66
76,255,128,65
77,254,125,64
78,253,120,62
79,252,116,60
80,251,111,58
81,250,106,56
82,249,102,54
83,248,97,52
84,247,92,50
85,246,88,48
86,245,83,47
87,244,78,45
88,243,74,43
89,242,69,41
90,241,65,39
91,240,60,37
92,228,58,35
93,217,57,32
94,205,55,30
95,194,54,28
96,182,52,25
97,171,51,23
98,159,49,21
99,148,48,18
100,136,46,16
